username,ip_address,attempt_count
admin,192.168.1.225,1
illegal,10.0.0.54,2
invalid,198.51.100.56,1
admin,198.51.100.144,1
admin,172.16.0.4,1
illegal,203.0.113.32,1
invalid,10.0.0.237,1
admin,10.0.0.159,1
guest,198.51.100.59,1
illegal,192.168.1.178,1
user1,172.16.0.23,1
user1,10.0.0.3,1
user1,198.51.100.81,1
guest,10.0.0.20,1
root,172.16.0.137,1
admin,192.168.1.4,1
sysadmin,203.0.113.53,1
oracle,172.16.0.144,1
invalid,10.0.0.222,1
invalid,198.51.100.156,1
admin,10.0.0.75,1
illegal,172.16.0.111,1
invalid,10.0.0.121,1
user1,192.168.1.76,1
invalid,192.168.1.64,1
user2,192.168.1.134,1
root,192.168.1.241,1
invalid,203.0.113.177,1
root,203.0.113.48,2
invalid,172.16.0.87,1
test,10.0.0.113,1
user2,10.0.0.134,1
oracle,192.168.1.31,1
admin,172.16.0.57,3
john,10.0.0.39,1
john,192.168.1.209,1
invalid,10.0.0.49,1
user2,198.51.100.233,1
sysadmin,10.0.0.160,1
illegal,198.51.100.83,1
admin,198.51.100.21,1
root,172.16.0.11,1
invalid,198.51.100.243,2
invalid,198.51.100.23,1
guest,198.51.100.5,1
invalid,172.16.0.43,1
illegal,172.16.0.244,2
oracle,192.168.1.173,1
ftp,172.16.0.252,1
invalid,192.168.1.230,1
illegal,10.0.0.67,1
user2,172.16.0.245,1
user1,172.16.0.49,1
guest,172.16.0.202,1
admin,198.51.100.109,1
user1,10.0.0.66,1
admin,203.0.113.71,1
ftp,203.0.113.155,1
illegal,192.168.1.63,1
sysadmin,172.16.0.214,1
oracle,203.0.113.206,1
invalid,192.168.1.107,1
illegal,192.168.1.227,1
illegal,192.168.1.28,2
invalid,10.0.0.102,2
user2,192.168.1.160,1
invalid,192.168.1.143,1
root,198.51.100.247,1
illegal,192.168.1.27,2
illegal,192.168.1.242,1
illegal,10.0.0.228,1
invalid,198.51.100.46,1
invalid,172.16.0.130,2
illegal,198.51.100.95,1
sysadmin,172.16.0.147,1
oracle,192.168.1.60,1
invalid,192.168.1.245,1
illegal,198.51.100.165,1
sysadmin,192.168.1.211,1
admin,10.0.0.136,1
illegal,10.0.0.51,1
invalid,10.0.0.29,1
oracle,192.168.1.8,1
illegal,172.16.0.246,1
invalid,172.16.0.120,1
illegal,192.168.1.169,1
invalid,198.51.100.224,2
illegal,10.0.0.215,1
oracle,172.16.0.61,1
user1,10.0.0.222,1
invalid,192.168.1.83,1
illegal,10.0.0.239,1
illegal,192.168.1.24,1
guest,10.0.0.48,1
invalid,203.0.113.49,1
illegal,203.0.113.253,2
invalid,198.51.100.246,1
illegal,203.0.113.136,1
test,10.0.0.86,1
user2,198.51.100.16,1
john,172.16.0.8,1
invalid,203.0.113.11,1
sysadmin,172.16.0.38,2
illegal,172.16.0.143,1
invalid,10.0.0.21,1
sysadmin,172.16.0.133,1
invalid,198.51.100.2,1
oracle,198.51.100.206,1
sysadmin,10.0.0.109,1
invalid,172.16.0.178,1
invalid,198.51.100.176,1
illegal,198.51.100.226,1
user1,192.168.1.239,1
admin,172.16.0.19,1
illegal,172.16.0.237,2
illegal,198.51.100.100,1
illegal,203.0.113.140,2
john,172.16.0.125,1
sysadmin,203.0.113.35,1
sysadmin,172.16.0.66,1
oracle,192.168.1.12,1
oracle,10.0.0.200,1
invalid,192.168.1.221,1
illegal,192.168.1.152,1
illegal,203.0.113.124,1
illegal,172.16.0.24,1
invalid,203.0.113.167,1
invalid,192.168.1.148,1
illegal,10.0.0.146,1
user1,10.0.0.220,1
oracle,203.0.113.68,1
test,203.0.113.64,1
illegal,192.168.1.193,1
user2,172.16.0.8,1
test,172.16.0.137,1
admin,198.51.100.202,1
user1,192.168.1.85,1
admin,10.0.0.80,1
user1,172.16.0.244,1
test,172.16.0.63,1
illegal,172.16.0.5,1
invalid,192.168.1.192,1
oracle,198.51.100.67,1
ftp,203.0.113.116,2
illegal,203.0.113.95,1
invalid,172.16.0.52,1
oracle,192.168.1.172,1
sysadmin,192.168.1.136,1
oracle,198.51.100.213,1
invalid,10.0.0.246,1
illegal,198.51.100.127,1
root,198.51.100.53,1
invalid,203.0.113.115,1
john,198.51.100.29,1
invalid,203.0.113.143,1
admin,172.16.0.96,1
test,10.0.0.27,1
user2,198.51.100.172,1
illegal,192.168.1.18,2
invalid,198.51.100.152,1
sysadmin,172.16.0.205,1
oracle,192.168.1.48,1
oracle,198.51.100.114,1
illegal,10.0.0.40,1
guest,10.0.0.125,1
user1,172.16.0.65,1
invalid,192.168.1.170,1
invalid,172.16.0.88,1
illegal,203.0.113.75,1
admin,198.51.100.28,1
illegal,192.168.1.224,1
user2,203.0.113.113,1
illegal,203.0.113.197,1
user2,10.0.0.71,1
invalid,172.16.0.230,1
invalid,203.0.113.93,1
sysadmin,203.0.113.59,1
invalid,198.51.100.33,1
illegal,198.51.100.27,1
user2,172.16.0.225,1
john,203.0.113.228,1
invalid,10.0.0.23,1
invalid,198.51.100.57,3
illegal,203.0.113.175,1
illegal,10.0.0.194,1
user1,198.51.100.142,1
admin,10.0.0.55,1
oracle,10.0.0.250,1
john,192.168.1.34,1
test,203.0.113.168,1
illegal,203.0.113.28,1
ftp,203.0.113.61,1
illegal,198.51.100.5,1
admin,198.51.100.18,1
oracle,198.51.100.23,1
illegal,192.168.1.211,2
test,10.0.0.55,1
illegal,10.0.0.48,1
ftp,10.0.0.237,1
user1,192.168.1.246,1
illegal,192.168.1.32,1
john,192.168.1.63,1
user1,198.51.100.198,1
root,172.16.0.79,1
illegal,10.0.0.30,1
invalid,203.0.113.223,1
illegal,172.16.0.66,1
user1,203.0.113.68,1
test,198.51.100.76,1
illegal,172.16.0.64,1
illegal,198.51.100.86,1
sysadmin,10.0.0.81,1
guest,172.16.0.41,1
guest,172.16.0.235,1
user2,192.168.1.191,1
illegal,10.0.0.115,1
illegal,203.0.113.55,1
illegal,10.0.0.154,1
oracle,10.0.0.80,1
illegal,10.0.0.176,1
invalid,203.0.113.47,1
user2,10.0.0.104,1
john,192.168.1.114,1
invalid,192.168.1.193,2
sysadmin,172.16.0.28,1
guest,10.0.0.19,1
illegal,198.51.100.233,1
illegal,198.51.100.29,1
john,203.0.113.28,2
illegal,198.51.100.168,1
guest,192.168.1.197,1
test,192.168.1.114,1
admin,192.168.1.117,1
john,172.16.0.124,1
user1,172.16.0.222,1
oracle,172.16.0.113,1
oracle,198.51.100.119,1
admin,172.16.0.119,1
invalid,192.168.1.45,1
invalid,172.16.0.115,1
invalid,192.168.1.213,2
sysadmin,10.0.0.67,1
illegal,192.168.1.171,1
oracle,10.0.0.173,1
illegal,192.168.1.226,1
illegal,10.0.0.38,1
user1,198.51.100.229,1
user2,10.0.0.21,1
guest,198.51.100.189,1
admin,172.16.0.160,1
illegal,172.16.0.7,1
illegal,198.51.100.132,1
test,192.168.1.22,1
invalid,198.51.100.193,1
user1,192.168.1.137,1
invalid,192.168.1.89,1
sysadmin,10.0.0.122,1
test,10.0.0.236,1
guest,172.16.0.203,1
illegal,10.0.0.202,1
user1,172.16.0.76,1
illegal,10.0.0.110,1
user1,198.51.100.171,1
oracle,203.0.113.175,1
sysadmin,198.51.100.155,1
user2,172.16.0.46,1
invalid,10.0.0.140,1
oracle,192.168.1.130,2
invalid,10.0.0.183,2
admin,198.51.100.52,1
john,172.16.0.237,1
illegal,172.16.0.96,1
user1,198.51.100.78,1
sysadmin,10.0.0.184,1
invalid,203.0.113.124,1
ftp,192.168.1.167,1
invalid,203.0.113.100,1
user1,198.51.100.66,1
illegal,203.0.113.22,1
john,172.16.0.183,1
illegal,172.16.0.76,1
ftp,192.168.1.165,1
ftp,10.0.0.15,1
invalid,10.0.0.101,1
illegal,203.0.113.65,1
invalid,10.0.0.110,1
illegal,203.0.113.123,1
user2,192.168.1.179,1
illegal,10.0.0.234,1
admin,203.0.113.46,1
admin,172.16.0.46,2
admin,172.16.0.68,1
invalid,198.51.100.27,1
illegal,192.168.1.17,1
guest,203.0.113.225,1
illegal,198.51.100.215,1
invalid,172.16.0.67,1
invalid,172.16.0.100,3
illegal,203.0.113.9,1
invalid,203.0.113.50,1
user2,192.168.1.197,1
illegal,10.0.0.190,1
root,198.51.100.101,1
root,198.51.100.196,1
test,198.51.100.51,1
illegal,198.51.100.236,1
test,10.0.0.31,1
invalid,203.0.113.224,1
user1,10.0.0.22,1
illegal,172.16.0.147,1
sysadmin,172.16.0.209,1
illegal,10.0.0.129,1
ftp,198.51.100.23,1
root,198.51.100.79,2
ftp,198.51.100.106,1
invalid,172.16.0.22,1
invalid,203.0.113.235,1
user2,198.51.100.32,1
admin,198.51.100.116,1
john,172.16.0.246,1
invalid,198.51.100.10,2
illegal,192.168.1.120,1
invalid,203.0.113.217,1
illegal,172.16.0.159,2
root,198.51.100.184,1
invalid,203.0.113.79,1
admin,192.168.1.130,1
illegal,10.0.0.156,1
user2,192.168.1.158,1
invalid,198.51.100.115,1
ftp,172.16.0.50,1
invalid,192.168.1.158,1
user2,10.0.0.41,1
illegal,172.16.0.180,1
invalid,203.0.113.216,1
illegal,198.51.100.183,2
oracle,198.51.100.126,1
invalid,203.0.113.41,1
illegal,172.16.0.8,1
invalid,10.0.0.250,2
invalid,203.0.113.179,1
illegal,10.0.0.56,2
user2,192.168.1.195,1
illegal,203.0.113.77,1
root,203.0.113.241,1
user1,203.0.113.36,1
oracle,10.0.0.178,1
user2,203.0.113.161,1
guest,203.0.113.176,1
guest,203.0.113.63,1
illegal,203.0.113.82,1
john,10.0.0.86,1
illegal,10.0.0.192,1
invalid,192.168.1.5,1
guest,172.16.0.248,1
user2,10.0.0.184,1
sysadmin,172.16.0.68,1
illegal,198.51.100.153,2
john,10.0.0.132,1
illegal,10.0.0.91,1
user1,10.0.0.104,1
invalid,192.168.1.124,1
guest,192.168.1.68,1
illegal,192.168.1.185,1
user2,172.16.0.16,1
sysadmin,10.0.0.162,1
invalid,10.0.0.130,1
guest,198.51.100.184,1
admin,172.16.0.95,1
oracle,172.16.0.138,1
ftp,198.51.100.93,1
illegal,203.0.113.244,1
invalid,10.0.0.195,1
invalid,203.0.113.148,2
illegal,203.0.113.229,1
invalid,10.0.0.193,1
invalid,198.51.100.88,1
invalid,172.16.0.116,1
illegal,192.168.1.35,1
sysadmin,172.16.0.36,1
user2,172.16.0.184,1
admin,203.0.113.90,1
illegal,198.51.100.84,1
invalid,192.168.1.79,1
invalid,192.168.1.181,1
guest,203.0.113.34,1
user2,192.168.1.17,1
illegal,192.168.1.214,1
oracle,172.16.0.188,1
illegal,172.16.0.250,1
john,192.168.1.4,1
guest,192.168.1.127,1
oracle,203.0.113.240,1
test,10.0.0.163,1
invalid,192.168.1.57,1
illegal,192.168.1.164,1
user2,172.16.0.49,1
user1,192.168.1.206,1
admin,192.168.1.44,1
john,203.0.113.239,1
ftp,172.16.0.51,1
illegal,203.0.113.228,1
illegal,198.51.100.240,2
illegal,203.0.113.252,2
illegal,10.0.0.205,1
user2,192.168.1.42,1
ftp,172.16.0.63,1
root,203.0.113.41,1
invalid,192.168.1.68,2
invalid,203.0.113.68,1
illegal,203.0.113.58,1
user2,198.51.100.209,1
invalid,198.51.100.52,1
illegal,192.168.1.85,1
user2,10.0.0.72,1
user1,192.168.1.241,1
invalid,172.16.0.165,1
illegal,203.0.113.250,1
illegal,10.0.0.198,1
guest,10.0.0.173,1
guest,172.16.0.2,1
sysadmin,198.51.100.135,1
root,172.16.0.41,1
invalid,10.0.0.53,1
root,10.0.0.194,1
invalid,192.168.1.177,1
guest,198.51.100.169,1
invalid,10.0.0.19,1
illegal,172.16.0.225,2
invalid,10.0.0.166,1
root,10.0.0.63,1
user1,192.168.1.245,1
root,172.16.0.203,1
illegal,172.16.0.100,1
invalid,192.168.1.27,1
test,172.16.0.118,1
invalid,198.51.100.22,1
user2,172.16.0.197,1
oracle,172.16.0.79,1
illegal,203.0.113.163,1
john,10.0.0.92,1
admin,10.0.0.41,1
admin,10.0.0.186,1
ftp,172.16.0.5,1
root,10.0.0.55,1
root,198.51.100.149,1
user1,198.51.100.54,1
illegal,203.0.113.87,1
root,172.16.0.227,1
invalid,172.16.0.99,2
john,10.0.0.171,1
illegal,198.51.100.244,2
invalid,192.168.1.141,1
user2,172.16.0.18,1
user1,198.51.100.186,1
invalid,203.0.113.221,1
invalid,203.0.113.175,1
user2,172.16.0.76,1
invalid,198.51.100.122,1
illegal,172.16.0.86,1
oracle,203.0.113.166,1
admin,172.16.0.162,1
root,198.51.100.46,1
invalid,10.0.0.112,1
user2,10.0.0.199,1
invalid,203.0.113.17,1
ftp,203.0.113.32,1
illegal,172.16.0.116,1
invalid,192.168.1.167,1
invalid,172.16.0.235,1
illegal,192.168.1.79,1
illegal,10.0.0.109,1
invalid,203.0.113.168,1
user2,198.51.100.204,1
sysadmin,203.0.113.44,1
illegal,10.0.0.27,1
root,203.0.113.69,1
test,203.0.113.125,1
invalid,10.0.0.96,1
ftp,198.51.100.160,1
test,203.0.113.204,1
oracle,192.168.1.218,1
oracle,203.0.113.173,1
illegal,10.0.0.84,1
admin,198.51.100.48,2
user2,10.0.0.43,1
test,172.16.0.209,1
invalid,172.16.0.83,1
invalid,198.51.100.13,1
invalid,172.16.0.35,1
john,203.0.113.111,1
invalid,10.0.0.88,1
oracle,203.0.113.112,1
admin,198.51.100.90,1
ftp,203.0.113.202,1
guest,172.16.0.70,1
invalid,203.0.113.61,1
user1,172.16.0.27,1
invalid,172.16.0.166,1
illegal,203.0.113.21,1
illegal,10.0.0.98,1
invalid,203.0.113.196,1
john,10.0.0.94,1
sysadmin,172.16.0.117,1
admin,192.168.1.206,1
admin,203.0.113.105,1
illegal,203.0.113.128,2
sysadmin,198.51.100.56,1
illegal,192.168.1.228,1
invalid,172.16.0.55,1
sysadmin,198.51.100.179,1
guest,192.168.1.207,1
guest,203.0.113.229,1
illegal,10.0.0.207,1
user2,172.16.0.12,1
invalid,172.16.0.236,2
oracle,10.0.0.163,1
illegal,198.51.100.206,1
user2,198.51.100.231,1
invalid,192.168.1.66,1
user2,172.16.0.125,1
test,192.168.1.77,2
invalid,10.0.0.41,1
oracle,203.0.113.165,1
sysadmin,172.16.0.93,1
user1,198.51.100.35,1
illegal,10.0.0.62,1
guest,203.0.113.235,1
sysadmin,10.0.0.40,1
illegal,198.51.100.96,1
user2,172.16.0.37,1
invalid,192.168.1.90,1
user2,192.168.1.189,1
test,203.0.113.124,1
illegal,198.51.100.106,1
illegal,192.168.1.113,1
oracle,198.51.100.198,1
invalid,198.51.100.174,1
root,172.16.0.246,1
illegal,192.168.1.206,1
ftp,192.168.1.81,1
illegal,192.168.1.217,1
root,198.51.100.62,1
john,203.0.113.245,1
user2,10.0.0.165,1
invalid,198.51.100.11,1
invalid,192.168.1.136,2
user2,203.0.113.86,1
invalid,10.0.0.229,1
invalid,192.168.1.215,1
invalid,10.0.0.98,1
admin,198.51.100.136,1
invalid,10.0.0.84,1
user1,203.0.113.140,1
illegal,172.16.0.174,1
invalid,10.0.0.208,1
root,198.51.100.194,1
user1,192.168.1.39,1
sysadmin,172.16.0.203,1
invalid,192.168.1.132,1
john,198.51.100.212,1
guest,192.168.1.217,1
illegal,198.51.100.34,2
oracle,172.16.0.98,1
test,172.16.0.130,1
illegal,203.0.113.225,1
invalid,198.51.100.25,1
user1,198.51.100.4,1
invalid,198.51.100.139,1
illegal,192.168.1.31,1
illegal,10.0.0.108,1
test,192.168.1.58,1
illegal,198.51.100.48,1
illegal,198.51.100.116,1
ftp,10.0.0.241,1
invalid,10.0.0.4,1
illegal,198.51.100.77,1
invalid,172.16.0.89,1
illegal,198.51.100.188,1
oracle,172.16.0.142,1
illegal,10.0.0.58,1
illegal,10.0.0.227,1
illegal,192.168.1.220,1
admin,10.0.0.110,1
user1,203.0.113.47,1
ftp,198.51.100.56,1
illegal,172.16.0.253,1
user1,172.16.0.44,1
illegal,172.16.0.91,1
invalid,10.0.0.68,1
invalid,172.16.0.86,1
invalid,198.51.100.170,1
invalid,203.0.113.190,2
admin,203.0.113.120,1
illegal,192.168.1.93,1
user1,203.0.113.240,1
invalid,198.51.100.132,1
illegal,198.51.100.94,1
illegal,192.168.1.97,1
invalid,203.0.113.230,1
invalid,192.168.1.127,1
illegal,203.0.113.13,1
illegal,172.16.0.109,1
ftp,203.0.113.234,1
user2,10.0.0.1,1
sysadmin,192.168.1.245,1
invalid,172.16.0.144,1
invalid,172.16.0.206,1
invalid,198.51.100.41,1
admin,172.16.0.107,1
user1,198.51.100.200,1
invalid,10.0.0.120,1
john,192.168.1.159,1
user2,192.168.1.89,1
ftp,198.51.100.156,1
invalid,10.0.0.231,1
illegal,198.51.100.43,1
invalid,203.0.113.222,1
invalid,172.16.0.229,1
user2,192.168.1.67,1
test,172.16.0.71,1
invalid,203.0.113.109,1
admin,10.0.0.77,1
oracle,10.0.0.39,1
invalid,10.0.0.170,1
guest,172.16.0.103,1
ftp,172.16.0.47,1
guest,203.0.113.218,1
invalid,203.0.113.163,1
ftp,198.51.100.92,1
invalid,203.0.113.13,1
invalid,203.0.113.119,1
john,10.0.0.45,1
illegal,203.0.113.52,1
illegal,192.168.1.189,1
invalid,172.16.0.63,1
sysadmin,172.16.0.25,1
invalid,172.16.0.213,1
oracle,203.0.113.30,1
illegal,198.51.100.218,1
user2,203.0.113.212,1
illegal,203.0.113.217,1
root,198.51.100.131,1
user2,10.0.0.203,1
illegal,198.51.100.158,1
invalid,172.16.0.192,1
user2,10.0.0.211,1
ftp,203.0.113.112,1
user2,198.51.100.248,1
illegal,172.16.0.36,1
invalid,198.51.100.89,1
user2,203.0.113.213,1
invalid,203.0.113.198,1
user1,192.168.1.80,1
user2,192.168.1.102,1
illegal,203.0.113.166,1
user1,198.51.100.87,1
invalid,192.168.1.46,1
guest,192.168.1.110,1
admin,10.0.0.11,1
admin,203.0.113.125,1
root,203.0.113.40,1
invalid,203.0.113.16,1
guest,198.51.100.48,1
illegal,172.16.0.166,1
john,198.51.100.8,1
ftp,10.0.0.217,1
illegal,172.16.0.16,1
invalid,172.16.0.172,1
test,203.0.113.127,1
ftp,203.0.113.13,1
invalid,192.168.1.176,1
user1,203.0.113.195,1
illegal,192.168.1.190,1
guest,172.16.0.33,1
invalid,192.168.1.21,1
invalid,192.168.1.227,2
user2,192.168.1.98,1
invalid,10.0.0.134,1
guest,192.168.1.2,1
invalid,192.168.1.85,1
invalid,10.0.0.99,1
illegal,192.168.1.65,1
invalid,10.0.0.76,1
invalid,203.0.113.242,1
test,203.0.113.131,1
guest,198.51.100.71,1
illegal,192.168.1.52,1
john,172.16.0.76,1
oracle,172.16.0.203,1
sysadmin,198.51.100.176,1
illegal,203.0.113.180,1
invalid,172.16.0.53,2
ftp,172.16.0.173,1
illegal,203.0.113.179,1
user1,203.0.113.129,1
invalid,203.0.113.121,2
root,198.51.100.94,1
sysadmin,203.0.113.100,1
user2,10.0.0.193,1
john,192.168.1.238,1
test,192.168.1.8,1
illegal,203.0.113.111,1
invalid,198.51.100.230,1
john,198.51.100.250,1
ftp,203.0.113.192,1
invalid,198.51.100.31,1
invalid,10.0.0.185,1
invalid,172.16.0.16,1
sysadmin,10.0.0.192,1
test,172.16.0.69,1
oracle,203.0.113.109,1
guest,10.0.0.242,1
user1,198.51.100.22,1
john,203.0.113.37,1
illegal,10.0.0.181,1
guest,203.0.113.51,1
illegal,192.168.1.128,1
admin,10.0.0.201,1
invalid,192.168.1.200,1
illegal,192.168.1.36,1
invalid,172.16.0.32,1
illegal,198.51.100.44,1
invalid,198.51.100.141,1
invalid,203.0.113.184,1
invalid,10.0.0.38,1
user2,172.16.0.141,1
invalid,172.16.0.187,1
admin,192.168.1.7,1
sysadmin,192.168.1.88,1
illegal,198.51.100.136,1
admin,10.0.0.250,1
admin,192.168.1.133,1
illegal,203.0.113.206,1
ftp,203.0.113.171,1
illegal,198.51.100.112,1
illegal,172.16.0.182,1
invalid,10.0.0.158,1
admin,192.168.1.41,1
invalid,172.16.0.247,1
test,203.0.113.16,1
test,10.0.0.16,1
illegal,198.51.100.51,1
ftp,172.16.0.228,1
illegal,192.168.1.135,1
oracle,10.0.0.160,1
user1,203.0.113.28,1
illegal,192.168.1.74,1
test,10.0.0.21,1
illegal,192.168.1.42,1
oracle,198.51.100.157,1
invalid,198.51.100.99,1
invalid,198.51.100.61,1
root,172.16.0.245,1
illegal,10.0.0.23,1
invalid,192.168.1.120,1
oracle,10.0.0.197,1
john,203.0.113.30,1
invalid,198.51.100.69,1
john,192.168.1.11,1
test,172.16.0.59,1
oracle,198.51.100.187,1
john,203.0.113.203,1
illegal,192.168.1.194,1
illegal,10.0.0.226,1
john,203.0.113.200,1
ftp,203.0.113.231,1
illegal,172.16.0.15,1
illegal,203.0.113.247,2
invalid,172.16.0.97,1
sysadmin,198.51.100.111,1
sysadmin,192.168.1.4,1
ftp,198.51.100.253,1
invalid,203.0.113.46,1
test,10.0.0.129,1
illegal,10.0.0.101,1
root,192.168.1.230,1
invalid,10.0.0.148,1
sysadmin,203.0.113.30,1
invalid,192.168.1.159,1
illegal,172.16.0.12,1
illegal,172.16.0.227,1
invalid,198.51.100.219,1
invalid,10.0.0.58,1
illegal,172.16.0.129,1
invalid,10.0.0.81,1
invalid,192.168.1.32,1
test,198.51.100.112,1
illegal,203.0.113.17,1
guest,10.0.0.63,1
illegal,198.51.100.141,1
test,172.16.0.38,1
illegal,203.0.113.207,1
user2,10.0.0.157,1
invalid,172.16.0.149,1
user1,10.0.0.213,1
admin,172.16.0.7,1
invalid,192.168.1.254,1
admin,198.51.100.39,1
user2,198.51.100.190,1
admin,172.16.0.251,1
invalid,10.0.0.12,1
illegal,10.0.0.206,1
sysadmin,10.0.0.21,1
illegal,192.168.1.129,1
invalid,172.16.0.210,1
illegal,172.16.0.67,1
admin,192.168.1.208,1
user2,198.51.100.28,1
invalid,10.0.0.59,1
user1,198.51.100.231,1
invalid,203.0.113.22,1
admin,203.0.113.159,1
test,203.0.113.203,1
john,203.0.113.244,1
invalid,172.16.0.10,1
illegal,198.51.100.237,1
oracle,198.51.100.76,1
john,192.168.1.145,1
user2,203.0.113.208,1
root,10.0.0.33,1
sysadmin,10.0.0.187,1
ftp,203.0.113.19,1
illegal,203.0.113.165,1
invalid,10.0.0.77,1
admin,10.0.0.29,1
invalid,172.16.0.142,1
admin,203.0.113.22,1
illegal,172.16.0.104,1
illegal,198.51.100.65,1
admin,172.16.0.196,1
admin,192.168.1.212,1
root,172.16.0.14,1
illegal,198.51.100.12,1
illegal,172.16.0.193,1
invalid,192.168.1.252,1
invalid,192.168.1.236,1
invalid,203.0.113.90,1
illegal,10.0.0.136,1
user1,198.51.100.243,1
illegal,10.0.0.80,1
illegal,198.51.100.67,1
sysadmin,172.16.0.120,1
invalid,203.0.113.48,1
invalid,10.0.0.244,1
user1,192.168.1.189,1
illegal,192.168.1.180,1
ftp,192.168.1.143,1
admin,10.0.0.27,1
invalid,198.51.100.163,1
user1,198.51.100.127,1
sysadmin,203.0.113.169,1
illegal,10.0.0.89,1
invalid,192.168.1.199,1
illegal,172.16.0.87,1
oracle,192.168.1.146,1
guest,198.51.100.123,1
ftp,172.16.0.99,1
illegal,10.0.0.68,1
invalid,10.0.0.228,1
sysadmin,203.0.113.144,1
illegal,198.51.100.227,1
invalid,172.16.0.29,1
illegal,192.168.1.110,1
john,203.0.113.125,1
invalid,172.16.0.84,1
invalid,172.16.0.170,1
invalid,198.51.100.120,1
sysadmin,172.16.0.151,1
illegal,198.51.100.195,1
invalid,10.0.0.45,1
illegal,192.168.1.72,1
admin,198.51.100.224,1
illegal,10.0.0.212,1
ftp,198.51.100.34,1
test,172.16.0.74,1
invalid,198.51.100.173,1
illegal,203.0.113.201,1
invalid,172.16.0.33,1
invalid,10.0.0.199,1
invalid,192.168.1.175,1
illegal,172.16.0.219,1
illegal,192.168.1.33,1
invalid,10.0.0.27,1
test,192.168.1.206,1
invalid,198.51.100.171,1
admin,172.16.0.223,1
test,198.51.100.189,1
invalid,203.0.113.251,1
root,172.16.0.26,1
guest,10.0.0.233,1
illegal,10.0.0.19,1
illegal,172.16.0.77,1
user2,198.51.100.2,1
oracle,172.16.0.187,1
root,172.16.0.148,1
illegal,203.0.113.233,1
invalid,10.0.0.165,1
illegal,10.0.0.219,1
john,10.0.0.17,1
user1,203.0.113.59,1
guest,203.0.113.85,1
oracle,198.51.100.58,1
test,198.51.100.110,1
root,198.51.100.169,1
guest,10.0.0.196,1
test,203.0.113.31,1
test,192.168.1.70,1
john,172.16.0.64,1
illegal,10.0.0.150,1
admin,172.16.0.90,1
invalid,192.168.1.2,1
invalid,198.51.100.96,1
invalid,203.0.113.87,1
illegal,203.0.113.102,1
invalid,203.0.113.101,1
illegal,198.51.100.35,1
root,192.168.1.100,1
invalid,192.168.1.133,1
ftp,203.0.113.113,1
john,192.168.1.227,1
invalid,198.51.100.191,1
illegal,198.51.100.66,1
invalid,10.0.0.67,1
oracle,10.0.0.154,1
invalid,172.16.0.74,1
test,10.0.0.120,1
user1,192.168.1.167,1
illegal,172.16.0.232,1
user1,203.0.113.191,1
admin,198.51.100.131,1
invalid,10.0.0.187,1
test,172.16.0.192,1
admin,203.0.113.85,1
illegal,10.0.0.159,1
root,203.0.113.194,1
user1,192.168.1.63,1
illegal,172.16.0.28,1
john,192.168.1.105,1
root,172.16.0.140,1
root,192.168.1.239,1
test,10.0.0.71,1
illegal,198.51.100.189,1
sysadmin,198.51.100.191,1
sysadmin,203.0.113.41,1
user2,10.0.0.62,1
sysadmin,192.168.1.188,1
